2021-02-09 10:58:00 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@661f7aa0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:58:00 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3ed915ae (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:58:00 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7f23282b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 10:58:00 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6280f739 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 11:03:44 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5b092974 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 11:03:44 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@689a2224 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 11:03:44 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6ddb6819 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 11:03:44 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2cadb4d3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 11:03:44 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6c0866e6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 11:03:44 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2eac9ce0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
