2021-01-27 17:08:15 |WARN  |http-nio-8160-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5e6c8a14 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:08:15 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6f810c4e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:17:08 |WARN  |http-nio-8160-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7ee9456b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:17:08 |WARN  |http-nio-8160-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@79a6481d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:17:08 |WARN  |http-nio-8160-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5c15998f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:17:08 |WARN  |http-nio-8160-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@34ef3703 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:17:08 |WARN  |http-nio-8160-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6d03a719 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:17:08 |WARN  |http-nio-8160-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3c3a66c0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:17:08 |WARN  |http-nio-8160-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@71a0096b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 17:17:08 |WARN  |http-nio-8160-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@16b5329 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
