2021-01-28 12:40:24 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3988fed0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:40:24 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@bd91404 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:40:24 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5aca4dc3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:40:24 |WARN  |http-nio-8160-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@468c3eb9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:44:04 |WARN  |http-nio-8160-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7b367ce7 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:44:04 |WARN  |http-nio-8160-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4592a2d3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:44:04 |WARN  |http-nio-8160-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@21d7cf28 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:44:04 |WARN  |http-nio-8160-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5ff1fa3d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:44:04 |WARN  |http-nio-8160-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@58b048de (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:44:04 |WARN  |http-nio-8160-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@864fd21 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
