2020-12-27 09:47:19 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@d689a3e7 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:47:19 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@d89e872c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:47:19 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@cb406d08 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:49:51 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@885b7889 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:49:51 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4b377a1f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:49:51 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@53d4c6db (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:49:51 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@a5cd2ecd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:49:51 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5ffd1d17 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:49:51 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@92173789 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:49:51 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@f6a7cfc1 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:49:51 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@b83af385 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:49:51 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@e03a2883 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:49:51 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@c45adc69 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:55:46 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@43c68817 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:55:46 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@9a0e8b43 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:55:46 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@26bfd2b1 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:55:46 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@929cfa2a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:55:46 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1b8a54f7 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:55:46 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@711b740 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:55:46 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@a64465d0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:55:46 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@f18b0452 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:55:46 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@e65f32a3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 09:55:46 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@9e2fcf2a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:01:36 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@f1bbb3c5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
