2021-01-25 01:28:54 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4eed10f3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:28:54 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5f782266 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:28:54 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@13f28162 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:28:54 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5b46e4ba (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:28:54 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7d8a1da9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:28:54 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@63ff6b6c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:33:01 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@88e54ee (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:33:01 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3de19a1c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:33:01 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@403b88f6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:33:01 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6fd7ec52 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:33:01 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1f7c3cb3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:33:01 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2e7c643a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:33:01 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@321c353b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:33:01 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6279ea56 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:33:01 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1c9edb0e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:33:01 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@518e3113 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:43:14 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2fee12b5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:43:14 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@73ef7af (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:43:14 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@65aeacc6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:43:14 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@43da7f08 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:43:14 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3901b164 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-25 01:43:14 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4972aa64 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
