2021-01-28 13:22:13 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1057a405 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:22:13 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@72021666 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:22:13 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@33e3dd02 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:22:13 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@131ac5b1 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:22:13 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3e402c5b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:27:53 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7135619e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:27:53 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@774491d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:27:53 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2689f004 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:27:53 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@34dc609c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:27:53 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2a0b65c8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:27:53 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@f12fd35 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:27:53 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@66722503 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:27:53 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@317d71d1 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:27:53 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@40296713 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:27:53 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@584ad176 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:32:18 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@754ea295 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:32:18 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3526e43b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:32:18 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@63695d21 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
