2021-01-22 19:42:23 |WARN  |http-nio-8081-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@b8e1ca3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:48:09 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3bd55e32 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:48:09 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4f11f99 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:48:09 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5ca6c123 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:48:09 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3ed47648 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:48:09 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@53cbf01 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:48:09 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@9bd75e8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:48:09 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@63f80225 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:48:09 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7e034e24 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:48:09 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1ea73252 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 19:48:09 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7c57165b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:02:47 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3b8bcd67 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:02:47 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5cd35c82 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:02:47 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@406608a2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
