2021-01-26 14:19:23 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@8374b45 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:19:23 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4dbea690 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:22:21 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7f86ad4f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:22:21 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@61c6cdf (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:22:21 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5a610de1 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:22:21 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7f471df2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:22:21 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@77055a1f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:22:21 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@121abab4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:22:21 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4046b313 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:22:21 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7a99e64 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
