2021-01-23 01:29:31 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4f139211 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:29:31 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7de9b933 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:29:31 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@61c7c626 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:29:31 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@230f2d30 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:29:31 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3becabc6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:29:31 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@b7cada9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:29:31 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5455bc16 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:29:31 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@ee97d01 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:29:31 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@50054581 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:29:31 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3e7aabcd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:33:35 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2f2798a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:33:35 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@348a392c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:33:35 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@42f2c710 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:33:35 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@69dd5bbb (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:33:35 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@624bb8b2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:33:35 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@76dae8e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:33:35 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@53f32334 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:33:35 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@50f0aa72 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:33:35 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6f4106f6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 01:33:35 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@532cc4e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 09:11:52 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@765e049b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
