2021-01-27 19:06:22 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7a391678 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 19:06:22 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@300473ef (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 19:06:22 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@34402361 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 19:06:22 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@33bc104 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 19:06:22 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@31839dcd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 19:06:22 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@228b0b19 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 20:03:42 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4afaa37 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 20:03:42 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@696ff375 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 20:03:42 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3b175ad0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 20:03:42 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4210a197 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 20:03:42 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2be5c2b5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 20:03:42 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3d0778e7 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-27 20:03:42 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3cc7744d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
